year,column_name,total_count,count_not_nulls,survey_table_name
2021,APPLURL,6289,6289,InstitutionalCharacteristics_HD
2020,APPLURL,6440,6440,InstitutionalCharacteristics_HD
2019,APPLURL,6559,6559,InstitutionalCharacteristics_HD
2018,APPLURL,6857,6857,InstitutionalCharacteristics_HD
2017,APPLURL,7153,4988,InstitutionalCharacteristics_HD
2016,APPLURL,7521,7521,InstitutionalCharacteristics_HD
2015,APPLURL,7647,7647,InstitutionalCharacteristics_HD
2014,APPLURL,7687,4804,InstitutionalCharacteristics_HD
2013,APPLURL,7764,7764,InstitutionalCharacteristics_HD
2012,APPLURL,7735,4192,InstitutionalCharacteristics_HD
2011,APPLURL,7643,4025,InstitutionalCharacteristics_HD
2010,APPLURL,7503,3354,InstitutionalCharacteristics_HD
2009,APPLURL,7316,2730,InstitutionalCharacteristics_HD
2008,APPLURL,7126,2360,InstitutionalCharacteristics_HD
2007,APPLURL,7052,1565,InstitutionalCharacteristics_HD
2006,APPLURL,7052,0,InstitutionalCharacteristics_HD
2005,APPLURL,7018,0,InstitutionalCharacteristics_HD
2004,APPLURL,6916,0,InstitutionalCharacteristics_HD
2021,ATHURL,6289,6289,InstitutionalCharacteristics_HD
2020,ATHURL,6440,6440,InstitutionalCharacteristics_HD
2019,ATHURL,6559,6559,InstitutionalCharacteristics_HD
2018,ATHURL,6857,6857,InstitutionalCharacteristics_HD
2017,ATHURL,7153,1714,InstitutionalCharacteristics_HD
2016,ATHURL,7521,7521,InstitutionalCharacteristics_HD
2015,ATHURL,7647,7647,InstitutionalCharacteristics_HD
2014,ATHURL,7687,1593,InstitutionalCharacteristics_HD
2013,ATHURL,7764,0,InstitutionalCharacteristics_HD
2012,ATHURL,7735,0,InstitutionalCharacteristics_HD
2011,ATHURL,7643,0,InstitutionalCharacteristics_HD
2010,ATHURL,7503,0,InstitutionalCharacteristics_HD
2009,ATHURL,7316,0,InstitutionalCharacteristics_HD
2008,ATHURL,7126,0,InstitutionalCharacteristics_HD
2007,ATHURL,7052,0,InstitutionalCharacteristics_HD
2006,ATHURL,7052,0,InstitutionalCharacteristics_HD
2005,ATHURL,7018,0,InstitutionalCharacteristics_HD
2004,ATHURL,6916,0,InstitutionalCharacteristics_HD
2021,C15BASIC,6289,6289,InstitutionalCharacteristics_HD
2020,C15BASIC,6440,6440,InstitutionalCharacteristics_HD
2019,C15BASIC,6559,6559,InstitutionalCharacteristics_HD
2018,C15BASIC,6857,6857,InstitutionalCharacteristics_HD
2017,C15BASIC,7153,7153,InstitutionalCharacteristics_HD
2016,C15BASIC,7521,7521,InstitutionalCharacteristics_HD
2015,C15BASIC,7647,7647,InstitutionalCharacteristics_HD
2014,C15BASIC,7687,0,InstitutionalCharacteristics_HD
2013,C15BASIC,7764,0,InstitutionalCharacteristics_HD
2012,C15BASIC,7735,0,InstitutionalCharacteristics_HD
2011,C15BASIC,7643,0,InstitutionalCharacteristics_HD
2010,C15BASIC,7503,0,InstitutionalCharacteristics_HD
2009,C15BASIC,7316,0,InstitutionalCharacteristics_HD
2008,C15BASIC,7126,0,InstitutionalCharacteristics_HD
2007,C15BASIC,7052,0,InstitutionalCharacteristics_HD
2006,C15BASIC,7052,0,InstitutionalCharacteristics_HD
2005,C15BASIC,7018,0,InstitutionalCharacteristics_HD
2004,C15BASIC,6916,0,InstitutionalCharacteristics_HD
2021,C15BASIC_label,6289,6289,InstitutionalCharacteristics_HD
2020,C15BASIC_label,6440,6440,InstitutionalCharacteristics_HD
2019,C15BASIC_label,6559,6559,InstitutionalCharacteristics_HD
2018,C15BASIC_label,6857,6857,InstitutionalCharacteristics_HD
2017,C15BASIC_label,7153,7153,InstitutionalCharacteristics_HD
2016,C15BASIC_label,7521,7521,InstitutionalCharacteristics_HD
2015,C15BASIC_label,7647,7647,InstitutionalCharacteristics_HD
2014,C15BASIC_label,7687,0,InstitutionalCharacteristics_HD
2013,C15BASIC_label,7764,0,InstitutionalCharacteristics_HD
2012,C15BASIC_label,7735,0,InstitutionalCharacteristics_HD
2011,C15BASIC_label,7643,0,InstitutionalCharacteristics_HD
2010,C15BASIC_label,7503,0,InstitutionalCharacteristics_HD
2009,C15BASIC_label,7316,0,InstitutionalCharacteristics_HD
2008,C15BASIC_label,7126,0,InstitutionalCharacteristics_HD
2007,C15BASIC_label,7052,0,InstitutionalCharacteristics_HD
2006,C15BASIC_label,7052,0,InstitutionalCharacteristics_HD
2005,C15BASIC_label,7018,0,InstitutionalCharacteristics_HD
2004,C15BASIC_label,6916,0,InstitutionalCharacteristics_HD
2021,C15ENPRF,6289,0,InstitutionalCharacteristics_HD
2020,C15ENPRF,6440,0,InstitutionalCharacteristics_HD
2019,C15ENPRF,6559,0,InstitutionalCharacteristics_HD
2018,C15ENPRF,6857,0,InstitutionalCharacteristics_HD
2017,C15ENPRF,7153,7153,InstitutionalCharacteristics_HD
2016,C15ENPRF,7521,7521,InstitutionalCharacteristics_HD
2015,C15ENPRF,7647,7647,InstitutionalCharacteristics_HD
2014,C15ENPRF,7687,0,InstitutionalCharacteristics_HD
