year,column_name,total_count,count_not_nulls,survey_table_name
2011,STAT_F_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_F_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_F_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_F_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_F_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_F_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_F_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_F_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_GR,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_GR,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_GR,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_GR,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_GR,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_GR,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_GR,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_GR,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_GR,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_GR,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_GR,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_GR,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_GR,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_GR,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_GR,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_GR,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_GR,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_GR,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_GR_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_GR_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_GR_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_GR_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_GR_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_GR_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_GR_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_GR_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_GR_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_GR_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_GR_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_GR_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_GR_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_GR_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_GR_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_GR_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_GR_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_GR_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_GR2,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_GR2,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_GR2,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_GR2,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_GR2,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_GR2,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_GR2,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_GR2,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_GR2,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_GR2,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_GR2,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_GR2,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_GR2,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_GR2,7126,0,InstitutionalCharacteristics_FLAGS
2007,STAT_GR2,7052,0,InstitutionalCharacteristics_FLAGS
2006,STAT_GR2,7052,0,InstitutionalCharacteristics_FLAGS
2005,STAT_GR2,7018,0,InstitutionalCharacteristics_FLAGS
2004,STAT_GR2,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_GR2_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_GR2_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_GR2_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_GR2_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_GR2_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_GR2_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_GR2_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_GR2_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_GR2_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_GR2_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_GR2_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_GR2_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_GR2_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_GR2_label,7126,0,InstitutionalCharacteristics_FLAGS
2007,STAT_GR2_label,7052,0,InstitutionalCharacteristics_FLAGS
2006,STAT_GR2_label,7052,0,InstitutionalCharacteristics_FLAGS
2005,STAT_GR2_label,7018,0,InstitutionalCharacteristics_FLAGS
2004,STAT_GR2_label,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_HR,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_HR,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_HR,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_HR,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_HR,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_HR,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_HR,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_HR,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_HR,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_HR,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_HR,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_HR,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_HR,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_HR,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_HR,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_HR,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_HR,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_HR,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_HR_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_HR_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_HR_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_HR_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_HR_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_HR_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_HR_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_HR_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_HR_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_HR_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_HR_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_HR_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_HR_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_HR_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_HR_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_HR_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_HR_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_HR_label,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_IC,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_IC,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_IC,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_IC,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_IC,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_IC,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_IC,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_IC,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_IC,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_IC,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_IC,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_IC,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_IC,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_IC,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_IC,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_IC,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_IC,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_IC,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_IC_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_IC_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_IC_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_IC_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_IC_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_IC_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_IC_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_IC_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_IC_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_IC_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_IC_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_IC_label,7503,7501,InstitutionalCharacteristics_FLAGS
2009,STAT_IC_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_IC_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_IC_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_IC_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_IC_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_IC_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_OM,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_OM,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_OM,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_OM,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_OM,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_OM,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_OM,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_OM,7687,0,InstitutionalCharacteristics_FLAGS
2013,STAT_OM,7764,0,InstitutionalCharacteristics_FLAGS
2012,STAT_OM,7735,0,InstitutionalCharacteristics_FLAGS
2011,STAT_OM,7643,0,InstitutionalCharacteristics_FLAGS
2010,STAT_OM,7503,0,InstitutionalCharacteristics_FLAGS
2009,STAT_OM,7316,0,InstitutionalCharacteristics_FLAGS
2008,STAT_OM,7126,0,InstitutionalCharacteristics_FLAGS
2007,STAT_OM,7052,0,InstitutionalCharacteristics_FLAGS
2006,STAT_OM,7052,0,InstitutionalCharacteristics_FLAGS
2005,STAT_OM,7018,0,InstitutionalCharacteristics_FLAGS
2004,STAT_OM,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_OM_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_OM_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_OM_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_OM_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_OM_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_OM_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_OM_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_OM_label,7687,0,InstitutionalCharacteristics_FLAGS
2013,STAT_OM_label,7764,0,InstitutionalCharacteristics_FLAGS
2012,STAT_OM_label,7735,0,InstitutionalCharacteristics_FLAGS
2011,STAT_OM_label,7643,0,InstitutionalCharacteristics_FLAGS
2010,STAT_OM_label,7503,0,InstitutionalCharacteristics_FLAGS
2009,STAT_OM_label,7316,0,InstitutionalCharacteristics_FLAGS
2008,STAT_OM_label,7126,0,InstitutionalCharacteristics_FLAGS
2007,STAT_OM_label,7052,0,InstitutionalCharacteristics_FLAGS
2006,STAT_OM_label,7052,0,InstitutionalCharacteristics_FLAGS
2005,STAT_OM_label,7018,0,InstitutionalCharacteristics_FLAGS
2004,STAT_OM_label,6916,0,InstitutionalCharacteristics_FLAGS
2021,STAT_S,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_S,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_S,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_S,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_S,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_S,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_S,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_S,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_S,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_S,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_S,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_S,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_S,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_S,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_S,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_S,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_S,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_S,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_S_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_S_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_S_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_S_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_S_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_S_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_S_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_S_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_S_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_S_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_S_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_S_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_S_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_S_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_S_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_S_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_S_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_S_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_SA,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_SA,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_SA,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_SA,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_SA,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_SA,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_SA,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_SA,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_SA,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_SA,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_SA,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_SA,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_SA,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_SA,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_SA,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_SA,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_SA,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_SA,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_SA_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_SA_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_SA_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_SA_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_SA_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_SA_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_SA_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_SA_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_SA_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_SA_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_SA_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_SA_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_SA_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_SA_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_SA_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_SA_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_SA_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_SA_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_SFA,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_SFA,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_SFA,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_SFA,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_SFA,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_SFA,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_SFA,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_SFA,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_SFA,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_SFA,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_SFA,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_SFA,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_SFA,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_SFA,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_SFA,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_SFA,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_SFA,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_SFA,6916,6916,InstitutionalCharacteristics_FLAGS
2021,STAT_SFA_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,STAT_SFA_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,STAT_SFA_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,STAT_SFA_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,STAT_SFA_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,STAT_SFA_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,STAT_SFA_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,STAT_SFA_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,STAT_SFA_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,STAT_SFA_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,STAT_SFA_label,7643,7643,InstitutionalCharacteristics_FLAGS
2010,STAT_SFA_label,7503,7503,InstitutionalCharacteristics_FLAGS
2009,STAT_SFA_label,7316,7316,InstitutionalCharacteristics_FLAGS
2008,STAT_SFA_label,7126,7126,InstitutionalCharacteristics_FLAGS
2007,STAT_SFA_label,7052,7052,InstitutionalCharacteristics_FLAGS
2006,STAT_SFA_label,7052,7052,InstitutionalCharacteristics_FLAGS
2005,STAT_SFA_label,7018,7018,InstitutionalCharacteristics_FLAGS
2004,STAT_SFA_label,6916,6916,InstitutionalCharacteristics_FLAGS
2021,TENURSYS,6289,6289,InstitutionalCharacteristics_FLAGS
2020,TENURSYS,6440,6440,InstitutionalCharacteristics_FLAGS
2019,TENURSYS,6559,6559,InstitutionalCharacteristics_FLAGS
2018,TENURSYS,6857,6857,InstitutionalCharacteristics_FLAGS
2017,TENURSYS,7153,7153,InstitutionalCharacteristics_FLAGS
2016,TENURSYS,7521,7521,InstitutionalCharacteristics_FLAGS
2015,TENURSYS,7647,7647,InstitutionalCharacteristics_FLAGS
2014,TENURSYS,7687,7687,InstitutionalCharacteristics_FLAGS
2013,TENURSYS,7764,7764,InstitutionalCharacteristics_FLAGS
2012,TENURSYS,7735,7735,InstitutionalCharacteristics_FLAGS
2011,TENURSYS,7643,0,InstitutionalCharacteristics_FLAGS
2010,TENURSYS,7503,0,InstitutionalCharacteristics_FLAGS
2009,TENURSYS,7316,0,InstitutionalCharacteristics_FLAGS
2008,TENURSYS,7126,0,InstitutionalCharacteristics_FLAGS
2007,TENURSYS,7052,0,InstitutionalCharacteristics_FLAGS
2006,TENURSYS,7052,0,InstitutionalCharacteristics_FLAGS
2005,TENURSYS,7018,0,InstitutionalCharacteristics_FLAGS
2004,TENURSYS,6916,0,InstitutionalCharacteristics_FLAGS
2021,TENURSYS_label,6289,6289,InstitutionalCharacteristics_FLAGS
2020,TENURSYS_label,6440,6440,InstitutionalCharacteristics_FLAGS
2019,TENURSYS_label,6559,6559,InstitutionalCharacteristics_FLAGS
2018,TENURSYS_label,6857,6857,InstitutionalCharacteristics_FLAGS
2017,TENURSYS_label,7153,7153,InstitutionalCharacteristics_FLAGS
2016,TENURSYS_label,7521,7521,InstitutionalCharacteristics_FLAGS
2015,TENURSYS_label,7647,7647,InstitutionalCharacteristics_FLAGS
2014,TENURSYS_label,7687,7687,InstitutionalCharacteristics_FLAGS
2013,TENURSYS_label,7764,7764,InstitutionalCharacteristics_FLAGS
2012,TENURSYS_label,7735,7735,InstitutionalCharacteristics_FLAGS
2011,TENURSYS_label,7643,0,InstitutionalCharacteristics_FLAGS
2010,TENURSYS_label,7503,0,InstitutionalCharacteristics_FLAGS
2009,TENURSYS_label,7316,0,InstitutionalCharacteristics_FLAGS
2008,TENURSYS_label,7126,0,InstitutionalCharacteristics_FLAGS
2007,TENURSYS_label,7052,0,InstitutionalCharacteristics_FLAGS
2006,TENURSYS_label,7052,0,InstitutionalCharacteristics_FLAGS
2005,TENURSYS_label,7018,0,InstitutionalCharacteristics_FLAGS
2004,TENURSYS_label,6916,0,InstitutionalCharacteristics_FLAGS
2021,UNITID,6289,6289,InstitutionalCharacteristics_FLAGS
2020,UNITID,6440,6440,InstitutionalCharacteristics_FLAGS
2019,UNITID,6559,6559,InstitutionalCharacteristics_FLAGS
2018,UNITID,6857,6857,InstitutionalCharacteristics_FLAGS
2017,UNITID,7153,7153,InstitutionalCharacteristics_FLAGS
2016,UNITID,7521,7521,InstitutionalCharacteristics_FLAGS
2015,UNITID,7647,7647,InstitutionalCharacteristics_FLAGS
2014,UNITID,7687,7687,InstitutionalCharacteristics_FLAGS
2013,UNITID,7764,7764,InstitutionalCharacteristics_FLAGS
2012,UNITID,7735,7735,InstitutionalCharacteristics_FLAGS
2011,UNITID,7643,7643,InstitutionalCharacteristics_FLAGS
2010,UNITID,7503,7503,InstitutionalCharacteristics_FLAGS
2009,UNITID,7316,7316,InstitutionalCharacteristics_FLAGS
2008,UNITID,7126,7126,InstitutionalCharacteristics_FLAGS
2007,UNITID,7052,7052,InstitutionalCharacteristics_FLAGS
2006,UNITID,7052,7052,InstitutionalCharacteristics_FLAGS
2005,UNITID,7018,7018,InstitutionalCharacteristics_FLAGS
2004,UNITID,6916,6916,InstitutionalCharacteristics_FLAGS
2021,Year,6289,6289,InstitutionalCharacteristics_FLAGS
2020,Year,6440,6440,InstitutionalCharacteristics_FLAGS
2019,Year,6559,6559,InstitutionalCharacteristics_FLAGS
2018,Year,6857,6857,InstitutionalCharacteristics_FLAGS
2017,Year,7153,7153,InstitutionalCharacteristics_FLAGS
2016,Year,7521,7521,InstitutionalCharacteristics_FLAGS
2015,Year,7647,7647,InstitutionalCharacteristics_FLAGS
2014,Year,7687,7687,InstitutionalCharacteristics_FLAGS
2013,Year,7764,7764,InstitutionalCharacteristics_FLAGS
2012,Year,7735,7735,InstitutionalCharacteristics_FLAGS
2011,Year,7643,7643,InstitutionalCharacteristics_FLAGS
2010,Year,7503,7503,InstitutionalCharacteristics_FLAGS
2009,Year,7316,7316,InstitutionalCharacteristics_FLAGS
2008,Year,7126,7126,InstitutionalCharacteristics_FLAGS
2007,Year,7052,7052,InstitutionalCharacteristics_FLAGS
2006,Year,7052,7052,InstitutionalCharacteristics_FLAGS
2005,Year,7018,7018,InstitutionalCharacteristics_FLAGS
2004,Year,6916,6916,InstitutionalCharacteristics_FLAGS
2021,ACCRD1,6179,0,InstitutionalCharacteristics_IC
2020,ACCRD1,6264,0,InstitutionalCharacteristics_IC
2019,ACCRD1,6362,0,InstitutionalCharacteristics_IC
2018,ACCRD1,6668,0,InstitutionalCharacteristics_IC
2017,ACCRD1,6882,0,InstitutionalCharacteristics_IC
2016,ACCRD1,7047,0,InstitutionalCharacteristics_IC
2015,ACCRD1,7418,0,InstitutionalCharacteristics_IC
2014,ACCRD1,7531,0,InstitutionalCharacteristics_IC
2013,ACCRD1,7614,0,InstitutionalCharacteristics_IC
2012,ACCRD1,7651,0,InstitutionalCharacteristics_IC
2011,ACCRD1,7591,0,InstitutionalCharacteristics_IC
2010,ACCRD1,7367,0,InstitutionalCharacteristics_IC
2009,ACCRD1,7135,0,InstitutionalCharacteristics_IC
2008,ACCRD1,6559,0,InstitutionalCharacteristics_IC
2007,ACCRD1,6902,0,InstitutionalCharacteristics_IC
2006,ACCRD1,6891,0,InstitutionalCharacteristics_IC
2005,ACCRD1,6844,0,InstitutionalCharacteristics_IC
2004,ACCRD1,6804,6804,InstitutionalCharacteristics_IC
2021,ACCRD1_label,6179,0,InstitutionalCharacteristics_IC
2020,ACCRD1_label,6264,0,InstitutionalCharacteristics_IC
2019,ACCRD1_label,6362,0,InstitutionalCharacteristics_IC
2018,ACCRD1_label,6668,0,InstitutionalCharacteristics_IC
2017,ACCRD1_label,6882,0,InstitutionalCharacteristics_IC
2016,ACCRD1_label,7047,0,InstitutionalCharacteristics_IC
2015,ACCRD1_label,7418,0,InstitutionalCharacteristics_IC
2014,ACCRD1_label,7531,0,InstitutionalCharacteristics_IC
2013,ACCRD1_label,7614,0,InstitutionalCharacteristics_IC
